tourney_date,player_name,rank,rank_points,age
2024-01-01,Chak Lam Coleman Wong,,,19.5
2024-01-01,Steven Diez,314.0,170.0,32.7
2024-01-15,Dane Sweeny,257.0,228.0,22.9
2024-01-15,Jason Kubler,113.0,561.0,30.6
2024-01-15,Jiri Vesely,293.0,188.0,30.5
2024-01-29,Antoine Escoffier,172.0,354.0,31.9
2024-02-02,Matavao Fanguna,,,27.2
2024-02-02,Heve Kelley,,,26.8
2024-02-02,Gillian Osmont,,,20.7
2024-02-02,Matic Kriznik,1274.0,5.0,18.4
2024-02-02,Maxim Shin,1469.0,3.0,20.6
2024-02-02,Sebastian Dominko,1107.0,8.0,20.7
2024-02-02,Martins Rocens,1763.0,1.0,23.8
2024-02-02,Lukas Pokorny,589.0,60.0,21.9
2024-02-02,Diego Duran,,,
2024-02-02,Altug Celikbilek,371.0,131.0,27.3
2024-02-02,Nam Hoang Ly,554.0,67.0,26.9
2024-02-02,Linh Giang Trinh,,,26.4
2024-02-02,Rodrigo Crespo Piedra,,,22.6
2024-02-02,Jesse Flores,900.0,18.0,28.8
2024-02-02,Karl Friberg,364.0,134.0,24.8
2024-02-02,Kevin Krawietz,,,32.0
2024-02-02,Emilio Gomez,307.0,175.0,32.1
2024-02-03,Juan Carlos Prado Angelo,605.0,56.0,18.8
2024-02-03,Boris Arias,,,30.2
2024-02-03,Niki Kaliyanda Poonacha,795.0,27.0,28.7
2024-02-03,Lucas Miedler,1071.0,9.0,27.6
2024-02-03,Ricardas Berankis,248.0,238.0,33.6
2024-02-03,Luca Preda,1099.0,8.0,17.8
2024-02-03,Aisam Ul Haq Qureshi,,,43.8
2024-02-03,Wishaya Trongcharoenchaikul,780.0,29.0,28.8
2024-02-03,Nicholas David Ionel,265.0,219.0,21.2
2024-02-03,Marius Copil,283.0,198.0,33.2
2024-02-03,Joris De Loore,192.0,317.0,30.7
2024-02-03,Yu Hsiou Hsu,230.0,266.0,24.8
2024-02-03,Dimitar Kuzmanov,225.0,269.0,30.5
2024-02-03,Petros Chrysochos,1410.0,3.0,27.8
2024-02-03,Menelaos Efstathiou,1222.0,6.0,24.9
2024-02-03,Benjamin Lock,348.0,144.0,30.9
2024-02-03,Benedict Badza,,,18.6
2024-02-03,Hong Kit Jack Wong,1643.0,2.0,25.4
2024-02-03,Kwok Shun Dasson Chan,,,18.5
2024-02-03,Komlavi Loglo,,,39.0
2024-02-03,Anthony Susanto,,,26.6
2024-02-03,Hamza Karmoussi,,,
2024-02-05,Adam Neff,829.0,23.0,22.6
2024-02-05,Steve Johnson,246.0,240.0,34.1
2024-02-05,Tennys Sandgren,281.0,200.0,32.5
2024-02-26,Ernesto Escobedo,493.0,82.0,27.6
2024-03-04,Bernabe Zapata Miralles,144.0,457.0,27.1
2024-03-15,Hamid Reza Nadaf,1588.0,2.0,31.2
2024-03-15,Sina Moghimi,1086.0,9.0,22.6
2024-04-01,Denis Kudla,160.0,409.0,31.6
2024-04-01,David Jorda Sanchis,329.0,159.0,29.7
2024-04-01,Joao Sousa,272.0,209.0,35.0
2024-04-15,Daniel Rincon,216.0,283.0,21.2
2024-04-15,Max Hans Rehberg,473.0,87.0,20.5
2024-05-20,Sebastian Fanselow,316.0,166.0,32.3
2024-05-20,Nikolas Sanchez Izquierdo,260.0,221.0,25.1
2024-05-20,Javier Barranco Cosano,254.0,233.0,25.5
2024-06-10,Matteo Martineau,179.0,344.0,25.3
2024-06-10,Tim Van Rijthoven,,,27.1
2024-06-17,Andy Murray,129.0,498.0,37.0
2024-06-17,Oscar Otte,474.0,92.0,30.9
2024-06-24,Giles Hussey,359.0,141.0,27.0
2024-06-24,Gijs Brouwer,190.0,317.0,28.2
2024-07-01,Paul Jubb,201.0,301.0,24.6
2024-07-01,Liam Broady,156.0,384.0,30.4
2024-07-01,Maxime Janvier,225.0,269.0,27.7
2024-07-01,Charles Broom,248.0,242.0,26.1
2024-07-15,Nick Hardt,191.0,313.0,23.8
2024-07-15,Rudolf Molleker,197.0,309.0,23.7
2024-07-15,Stefano Napolitano,125.0,497.0,29.2
